Loan_ID,Age,Employment_Type,Annual_Income_INR,Credit_Score,Loan_Purpose,Loan_Amount_INR,Loan_Term_Months,Existing_Loans,Debt_to_Income_Ratio,Interest_Rate_Pct,Region,Loan_Status,Default_Flag
LN100001,28,Business Owner,772800,648,Home,285000,12,1,38.1,12.2,South,Rejected,No
LN100002,22,Salaried,592400,705,Vehicle,859000,60,1,39.5,12.2,North,Rejected,No
LN100003,46,Business Owner,272300,672,Medical,285000,12,1,45.7,12.51,West,Rejected,No
LN100004,48,Self-Employed,653400,771,Personal,595000,84,0,24.4,12.0,North,Rejected,No
LN100005,51,Salaried,354800,689,Vehicle,202000,48,0,31.6,12.1,Central,Rejected,No
LN100006,59,Student,152860,745,Education,271000,48,4,24.4,11.86,East,Approved,No
LN100007,40,Business Owner,700800,713,Home,930000,36,4,34.0,12.09,North,Rejected,No
LN100008,54,Business Owner,850100,609,Education,1209000,60,0,22.7,13.5,Central,Rejected,No
LN100009,49,Salaried,868400,694,Home,1222000,24,3,26.9,11.73,North,Approved,No
LN100010,32,Salaried,888000,620,Home,970000,60,0,27.0,12.33,West,Rejected,No
LN100011,54,Salaried,224500,693,Home,381000,48,4,35.5,12.69,South,Rejected,No
LN100012,23,Business Owner,307500,652,Education,336000,60,1,32.0,12.19,East,Rejected,No
LN100013,44,Self-Employed,1924500,725,Home,1894000,72,0,38.1,12.33,West,Approved,No
LN100014,58,Business Owner,365400,613,Medical,207000,24,1,30.7,14.33,North,Rejected,No
LN100015,47,Salaried,909500,701,Home,527000,24,2,25.0,11.16,West,Approved,No
LN100016,58,Salaried,445500,737,Vehicle,603000,48,1,34.3,12.86,North,Rejected,No
LN100017,23,Self-Employed,679100,759,Business,454000,60,1,21.0,10.93,West,Approved,No
LN100018,42,Salaried,458800,650,Home,614000,12,2,38.8,13.53,North,Approved,No
LN100019,52,Business Owner,885200,701,Vehicle,1522000,60,0,28.6,12.41,North,Approved,No
LN100020,46,Self-Employed,700800,712,Business,593000,60,0,34.5,12.41,North,Rejected,No
LN100021,56,Business Owner,508000,801,Personal,135000,60,1,34.6,11.18,East,Rejected,No
LN100022,39,Salaried,364800,604,Education,450000,60,0,51.2,13.1,Central,Rejected,No
LN100023,48,Student,202030,641,Personal,25000,12,1,36.6,12.11,Central,Approved,No
LN100024,37,Business Owner,333600,850,Personal,480000,36,0,32.9,10.85,West,Approved,No
LN100025,55,Business Owner,822300,682,Vehicle,817000,60,1,23.7,11.83,West,Rejected,No
LN100026,25,Salaried,2756000,577,Home,2570000,48,2,41.6,13.38,Central,Rejected,No
LN100027,31,Salaried,1365900,662,Home,1459000,60,1,28.8,11.26,East,Rejected,No
LN100028,24,Salaried,964900,520,Business,944000,84,0,13.7,13.02,South,Approved,No
LN100029,49,Salaried,620100,716,Vehicle,403000,12,1,29.7,12.72,West,Approved,No
LN100030,30,Self-Employed,223800,753,Home,129000,48,2,34.3,12.32,North,Rejected,No
LN100031,33,Business Owner,314100,641,Personal,253000,36,2,22.2,12.27,West,Rejected,No
LN100032,54,Student,241946,669,Medical,392000,24,2,30.6,14.03,South,Approved,No
LN100033,35,Salaried,421000,760,Home,139000,84,1,31.1,11.12,South,Approved,No
LN100034,26,Salaried,442500,586,Home,289000,84,0,31.3,12.86,Central,Approved,No
LN100035,21,Salaried,593400,614,Vehicle,253000,36,1,46.8,12.07,North,Approved,No
